call_sign,frequency_khz,hours,status,city,state,country,facility_id,power_kw,directional,latitude,longitude,licensee
WOOF,560,Nighttime,Licensed,OTHAN,AL,US,73675,0.118,False,31.218222,-85.352722,"WOOF, INC."
KBLU,560,Nighttime,Licensed,UMA,AZ,US,62233,1.0,True,32.723389,-114.643556,EDB VV LICENSE LLC
KZAC,560,Nighttime,Licensed,SAN FRANCISCO,CA,US,34472,5.0,True,37.745472,-122.378861,RADIO LICENSE HOLDINGS LLC
WQAM,560,Nighttime,Licensed,MIAMI,FL,US,64002,1.0,False,25.839806,-80.1895,"AUDACY LICENSE, LLC"
WIND,560,Nighttime,Licensed,CHICAGO,IL,US,67068,5.0,True,41.565028,-87.41975,"SALEM MEDIA OF ILLINOIS, LLC"
WMIK,560,Nighttime,Licensed,MIDDLESBORO,KY,US,23335,0.088,False,36.627306,-83.714361,"GATEWAY BROADCASTING, INC."
WHYN,560,Nighttime,Licensed,SPRINGFIELD,MA,US,55757,1.0,True,42.193694,-72.683417,"IHM LICENSES, LLC"
WFRB,560,Nighttime,Licensed,FROSTBURG,MD,US,71868,0.055,False,39.683528,-78.965028,"FM RADIO LICENSES, LLC"
WGAN,560,Nighttime,Licensed,PORTLAND,ME,US,58544,5.0,True,43.690083,-70.317556,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC"
WRDT,560,Nighttime,Application,MONROE,MI,US,25083,14.0,False,42.453639,-83.163806,"WMUZ RADIO, INC."
WRDT,560,Nighttime,Licensed,MONROE,MI,US,25083,0.014,False,42.453639,-83.163806,"WMUZ RADIO, INC."
WEBC,560,Nighttime,Licensed,ULUTH,MN,US,49689,5.0,True,46.643556,-91.986028,"TOWNSQUARE LICENSE, LLC"
KWTO,560,Nighttime,Licensed,PRINGFIELD,MO,US,35900,4.0,True,36.9445,-93.221583,"ZIMMER MIDWEST COMMUNICATIONS, INC."
KMON,560,Nighttime,Licensed,REAT FALLS,MT,US,62330,5.0,True,47.424667,-111.289694,TOWNSQUARE LICENSE LLC
WGAI,560,Nighttime,Licensed,LIZABETH CITY,NC,US,72731,0.5,True,36.337944,-76.246611,"GREGORY COMMUNICATIONS LICENSE, INC."
WFIL,560,Nighttime,Licensed,PHILADELPHIA,PA,US,52193,5.0,True,40.095111,-75.276833,SALEM COMMUNICATIONS HOLDING CORPORATION
WVOC,560,Nighttime,Licensed,COLUMBIA,SC,US,11902,5.0,True,34.032083,-81.14175,"IHM LICENSES, LLC"
WHBQ,560,Nighttime,Licensed,EMPHIS,TN,US,21727,1.0,True,35.253417,-90.047583,FLINN BROADCASTING CORPORATION
WNSR,560,Nighttime,Licensed,BRENTWOOD,TN,US,41062,75.0,False,36.141167,-86.756389,"SOUTHERN WABASH COMMUNICATIONS OF MIDDLE TENNESSEE, INC."
KLVI,560,Nighttime,Licensed,BEAUMONT,TX,US,25580,5.0,True,30.045778,-93.868778,"IHM LICENSES, LLC"
KPQ,560,Nighttime,Licensed,ENATCHEE,WA,US,71715,5.0,True,47.453194,-120.329806,"TOWNSQUARE LICENSE, LLC"
WJLS,560,Nighttime,Licensed,BECKLEY,WV,US,52335,0.47,True,37.759,-81.1865,WEST VIRGINIA RADIO CORPORATION
CKNL,560,Nighttime,CP,ORT ST. JOHN,BC,CA,106069,1.0,True,56.233278,-120.893694,-
CHTK,560,Nighttime,CP,RINCE RUPERT,BC,CA,106070,0.25,False,54.298361,-130.387833,-
C560,560,Nighttime,CP,UNKNOWN,NF,CA,189784,5.0,True,47.659972,-53.251778,-
CJKL,560,Nighttime,CP,IRKLAND LAKE,ON,CA,106072,5.0,True,48.071667,-80.027139,-
CFOS,560,Nighttime,CP,WEN SOUND,ON,CA,106073,1.0,True,44.544472,-80.902083,-
CKCN,560,Nighttime,CP,EPT-ILES,QC,CA,106074,5.0,True,50.205056,-66.567194,-
KGUM,567,Daytime,Licensed,AGANA,GU,US,60853,10.0,False,13.391111,144.76175,"SORENSEN PACIFIC BROADCASTING, INC."
KGUM,567,Nighttime,Licensed,AGANA,GU,US,60853,10.0,False,13.391111,144.761667,"SORENSEN PACIFIC BROADCASTING, INC."
WMCA,570,Unlimited,Licensed,NEW YORK,NY,US,58626,5.0,True,40.752889,-74.10375,"SALEM MEDIA OF MASSACHUSETTS, LLC"
KNRS,570,Unlimited,Licensed,ALT LAKE CITY,UT,US,63818,5.0,True,40.819111,-111.933,"IHM LICENSES, LLC"
KVI,570,Unlimited,Licensed,EATTLE,WA,US,35853,5.0,False,47.421778,-122.430139,LOTUS SEATTLE CORP.
CKGL,570,Unlimited,CP,ITCHENER,ON,CA,106078,10.0,True,43.290333,-80.352611,-
CKSW,570,Unlimited,CP,WIFT CURRENT,SK,CA,106079,10.0,True,50.160861,-107.816778,-
WAAX,570,Daytime,Licensed,GADSDEN,AL,US,22996,5.0,False,33.979278,-86.002472,"IHM LICENSES, LLC"
KLAC,570,Daytime,Licensed,LOS ANGELES,CA,US,59958,5.0,False,34.069722,-118.19425,"LOS ANGELES BROADCASTING PARTNERS, LLC"
KCFJ,570,Daytime,Licensed,ALTURAS,CA,US,33733,5.0,False,41.305444,-120.514944,"EDI MEDIA, INC."
WTBN,570,Daytime,Licensed,PINELLAS PARK,FL,US,51985,0.25,True,27.999472,-82.700111,SALEM COMMUNICATIONS HOLDING CORPORATION
KUAI,570,Daytime,Licensed,LEELE,HI,US,58938,1.0,False,21.991944,-159.405833,"PACIFIC RADIO GROUP, INC."
WKYX,570,Daytime,Licensed,ADUCAH,KY,US,6874,1.0,True,37.014778,-88.612833,"BRISTOL BROADCASTING COMPANY, INC."
WIDS,570,Daytime,Licensed,RUSSELL SPRINGS,KY,US,37447,0.5,False,37.094222,-85.080222,"HAMMOND BROADCASTING, INC."
WWRC,570,Daytime,Licensed,BETHESDA,MD,US,11846,5.0,True,39.134278,-77.303583,SALEM COMMUNICATIONS HOLDING CORPORATION
WQDR,570,Daytime,Licensed,ALEIGH,NC,US,61698,1.0,False,35.793194,-78.761111,"TRIANGLE BROADCAST ASSOCIATES, LLC"
WWNC,570,Daytime,Licensed,ASHEVILLE,NC,US,2946,5.0,False,35.597056,-82.606528,"IHM LICENSES, LLC"
KWML,570,Daytime,Licensed,AS CRUCES,NM,US,63950,5.0,False,32.30925,-106.823889,ARG OF LAS CRUCES LLC
WMCA,570,Daytime,Licensed,NEW YORK,NY,US,58626,5.0,True,40.752889,-74.10375,"SALEM MEDIA OF MASSACHUSETTS, LLC"
WSYR,570,Daytime,Licensed,SYRACUSE,NY,US,48720,5.0,True,42.987,-76.152139,"IHM LICENSES, LLC"
WKBN,570,Daytime,Licensed,YOUNGSTOWN,OH,US,70519,5.0,False,40.985056,-80.599806,"IHM LICENSES, LLC"
WNAX,570,Daytime,Licensed,YANKTON,SD,US,57846,5.0,False,42.913056,-97.316444,"SAGA COMMUNICATIONS OF SOUTH DAKOTA, LLC"
KLIF,570,Daytime,Licensed,DALLAS,TX,US,35061,5.0,True,32.944833,-96.940556,"KLIF LICO, INC."
